Seller SKU,Manufacturer Part Number,Brand Name,Item Name,Bullet points,Product Description,Search Terms,Barcode
OMF1649,OMF1649,Olsenmark,"Olsenmark OMF1649 16"" Rechargable Stand Fan","• Energy Efficient
 • Steady flow of air
 • Convenient use with remote control
 • LED Lights
 • USB Socket for Solar Panel Charging
 • DC 12V Socket for solar Panel Charging
 • 12V 4.5Ah Rechargeable Sealed Lead Acid Battery
 • AC: 100-240V 50/60HZ 30W","Olsenmark OMF1649 16"" Rechargable Stand Fan","fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan",
OMF1655,OMF1655,Olsenmark,"Olsenmark OMF1655 18"" Stand Fan","• Powerful 6 Leaf AS Blades
 • 60 Minutes Timer
 • Oscillation & Adjustable Height and tilting setting
 • Number of Speeds: 3
 • Fan Size : 13 to 18 Inch
 • Ac : 220-240V 50/60Hz 60W
 • Material: ABS","Olsenmark OMF1655 18"" Stand Fan","fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan",
OMF1657,OMF1657,Olsenmark,"Olsenmark OMF1657 16"" Table Fan","• Powerful 5 leaf aluminous blade
 • 3 speed option
 • 60 minutes timer
 • Oscillation
 • Wide grill ring 
 • Adjustable tilt setting
 • Heavy duty motor 
 • AC:220-240V 50/60Hz 60W","Olsenmark OMF1657 16"" Table Fan","fan, olsenmark fan, Table fan, cooling fan, fast fan, electric fan",
OMF1697,OMF1697,Olsenmark,"Olsenmark OMF1697 16"" Stand Fan","• 16 Inch Stand Fan 
 • Piano Button Switches With 3 Speeds: Low/Med/High 
 • Five Leaf ASB Transparent Blades 
 • 120 Ribbed Grills 
 • 60 Minutes Timer 
 • Height Adjustable 
 • Wide Angle Horizontal Oscillation 
 • AC: 220-240V 50/60Hz 60W","Olsenmark OMF1697 16"" Stand Fan","fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan",
OMF1698,OMF1698,Olsenmark,"Olsenmark OMF1698 16"" Stand Fan with Remote","• 16"" Stand fan with remote control.
 • Three Modes: Normal/Natural/Sleeping. 
 • 5 Leaf AS Transparent blades. 
 • 120 Ribbed Grills.
 • 7.5Hrs Timers.
 • Height Adjustable.
 • Wide angle horizontal oscillation.
 • Ac: 220-240V 50-60Hz 60W","Olsenmark OMF1698 16"" Stand Fan with Remote","fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan",
OMF1699,OMF1699,Olsenmark,"Olsenmark OMF1699 16"" Table Fan","• 16 Inch Table Fan 
 • Piano Button Switches with 3 Speeds: Low/Med/High 
 • Five Leaf""AS""Transparent Blades 
 • 120 Ribbed Grills 
 • 60 Minutes Timer 
 • Wide Angle Horizontal Oscillation 
 • AC: 220-240V 50/60Hz 60W","Olsenmark OMF1699 16"" Table Fan","fan, olsenmark fan, Table fan, cooling fan, fast fan, electric fan, Olsenmark Table Fan",
OMF1700,OMF1700,Olsenmark,"Olsenmark OMF1700 16"" Table Fan","• 16 Inch Table Fan
 • Piano Button Switches With 3 Speeds: Low/Med/High
 • Five Leaf AS"" Transparent Blades
 • 120 Ribbed Grills
 • 60 Minutes Timer
 • Wide Angle Horizontal Oscillation
 • AC: 220-240V 50/60Hz 60W","Olsenmark OMF1700 16"" Table Fan","fan, olsenmark fan, Table fan, cooling fan, fast fan, electric fan",
OMF1701,OMF1701,Olsenmark,"Olsenmark OMF1701 16"" Wall Fan","• 16 Inch Wall Fan 
 • Two Pull String Switch: With 3 Speeds: Low/Med/High 
 • Five Leaf""AS""Transparent Blades 
 • 120 Ribbed Grills 
 • Wide Angle Horizontal Oscillation 
 • AC: 220-240V 50/60Hz 60W","Olsenmark OMF1701 16"" Wall Fan","fan, Olsenmark fan, wall fan, cooling fan, fast fan, electric fan, ceiling fan,Wall fan",
OMF1702,OMF1702,Olsenmark,"Olsenmark OMF1702 16"" Wall Fan with Remote","• 16 Inch Wall Fan with remote control 
 • Three Modes: Normal/Natural/Sleeping, 3 Speeds For Each Mode 
 • Five Leaf""AS""Transparent Blades 
 • 120 Ribbed Grills 
 • 7.5 Hours Timer 
 • Wide Angle Horizontal Oscillation 
 • AC: 220-240V 50/60Hz","Olsenmark OMF1702 16"" Wall Fan with Remote","fan, Olsenmark fan, wall fan, cooling fan, fast fan, electric fan, ceiling fan,Wall fan",
OMF1703,OMF1703,Olsenmark,"Olsenmark OMF1703 12"" Wall Fan","• 12 Inch Wall Fan 
 • Two Pull String Switch: With 3 Speeds: Low/Med/High 
 • Five Leaf AS""Transparent Blades 
 • 120 Ribbed Grills 
 • Wide Angle Horizontal Oscillation 
 • AC: 220-240V 50/60Hz 60W","Olsenmark OMF1703 12"" Wall Fan","fan, Olsenmark fan, wall fan, cooling fan, fast fan, electric fan, ceiling fan,Wall fan",
OMF1723,OMF1723,Olsenmark,"Olsenmark OMF1723 12"" Box Fan","• 12"" Box fan
 • High quality Fan guard
 • Five plastic blade
 • Copper motor
 • 60 minutes timer
 • 3 Speed control
 • AC: 220-240V 50/60Hz 38-43W","Olsenmark OMF1723 12"" Box Fan","fan, olsenmark fan, box fan, cooling fan, fast fan, electric fan",
OMF1724,OMF1724,Olsenmark,"Olsenmark OMF1724 16"" Stand Fan","• 16"" Stand fan
 • Strong Fan guard
 • Five metal blade
 • High quality motor
 • Strong base
 • 60 minutes timer
 • With lamp
 • 3 Speed control
 • AC: 220-240V 50/60Hz 64W","Olsenmark OMF1724 16"" Stand Fan","fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan",
OMF1725,OMF1725,Olsenmark,"Olsenmark OMF1725 16""Wall Fan with Four Leaf Aluminum Blades","• Two Pull String Switch with 3 Speeds: Low/Med/High 
 • Four Leaf Aluminum Blades 
 • 120 Ribbed Grills 
 • Wide Angle Horizontal Oscillation 
 • Color: White with grey
 • Material: ABS and PP 
 •AC: 220-240V 50/60Hz 60W","Olsenmark OMF1725 16""Wall Fan with Four Leaf Aluminum Blades","fan, Olsenmark fan, wall fan, cooling fan, fast fan, electric fan, ceiling fan",
OMF1735,OMF1735,Olsenmark,Olsenmark OMF1735 Rechargeable Fan with LED Light,"• Battery: 4V 3000mAh sealed lead-acid rechargeable battery 
 • 6"" Three leaf blades 
 • Charge time: 4-6 hours 
 • Duration: 2-2.5 hours more/strong wind 6-8 hours more/weak wind 5-6 hours more/strong light 8-10 hours more/weak light 
 • Voltage: 5V USB power 
 • AC: 220-240V 50/60Hz",Olsenmark OMF1735 Rechargeable Fan with LED Light,"fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan, Olsenmark rechargeable Fan, rechargeable Fan, Table Fan,Desktop Rechargeable Fan,Rechargeable Fan with LED Light",
OMF1738,OMF1738,Olsenmark,Olsenmark OMF1738 Stand Fan,"• Strong Fan Guard 
 • Five Leaf Blades 
 • High Quality Motor 
 • Strong Base 
 • 60 Minutes Timer 
 • 3 Speed Control 
 • Color: Black",Olsenmark OMF1738 Stand Fan,"fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan",
OMF1739,OMF1739,Olsenmark,Olsenmark OMF1739 Wall Fan,"• Strong Fan Guard 
 • Five Leaf Blades 
 • High Quality Motor 
 • 3 Speed Control 
 • Color: Grey 
 • Material: PP",Olsenmark OMF1739 Wall Fan,"fan, Olsenmark fan, wall fan, cooling fan, fast fan, electric fan, ceiling fan,Wall fan",
OMF1740,OMF1740,Olsenmark,Olsenmark OMF1740 Orbit Ceiling Fan,"• Strong Fan Guard 
 • Three leaf metal blade 
 • High quality motor 
 • 3 Speeds control 
 • AC:220-240V 50Hz 50W 
 • Color: White body with blue blade 
 • Material: PP body, metal grill and blade",Olsenmark OMF1740 Orbit Ceiling Fan,"fan, geepas fan, stand fan, cooling fan, fast fan, electric fan, Wall Fan, Orbit Fan",
OMF1744,OMF1744,Olsenmark,"Olsenmark OMF1744 12"" Rechargeable Fan","• 6V4.5A rechargeable lead-acid battery 
 • 36 pcs smd bright led light 
 • charging indicator 
 • Duration time: strong light: 17 hours weak light :40hours high speed:3.5 hours middle speed:5 hours low speed :9 hours 
 • AC:100-240V 50/60Hz, 24W 
 • AC/DC Function with Mobile phone Charging","Olsenmark OMF1744 12"" Rechargeable Fan","fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan, Olsenmark rechargeable Fan, rechargeable Fan, Table Fan",
OMF1746,OMF1746,Olsenmark,"Olsenmark OMF1746 Rechargeable 12""oscillating fan","• Power full motor
 • Five leaf blade
 • 6 hours working time
 • Led night light
 • Mobile phone charging
 • Solar connection
 • Oscillation
 • Power: 20W
 • Color: White
 • Material: Banana blade and gear box are pp ,other is abs
 • AC: 220-240V 50/60Hz","Olsenmark OMF1746 Rechargeable 12""oscillating fan","fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan, Olsenmark rechargeable Fan, rechargeable Fan, Table Fan",
OMF1751,OMF1751,Olsenmark,"Olsenmark OMF1751 Rechargeable 12"" Box Fan","• Battery: 2*6V (12V) 4.5Ah Sealed Lead-Acid 
 • Rechargeable battery 
 • LED Night Light
 • Powerful Motor 
 • Five Leaf Blades
 • 6hrs Working time 
 • Oscillation
 • Duration time of Night Light: high 45h,low 100h
 • Duration time of Fan:
 • High: 3.5hrs Low: 6hrs
 • DC solar input: 12V
 • AC: 220-240V 50/60Hz 
 • Power: 30W
 • Color: White
 • Material: Banana blade ispp ,other is abs","Olsenmark OMF1751 Rechargeable 12"" Box Fan","fan, olsenmark fan, stand fan, cooling fan, fast fan, electric fan, Olsenmark rechargeable Fan, rechargeable Fan, Table Fan, Box Fan",
OMF1752,OMF1752,Olsenmark,Olsenmark OMF1752 Ceiling Fan,"• Easy to Install
 • Dfouble Ball Bearing 
 • Max Speed: 290RPM 
 • 3*3 Capacitor Type Regulator
 • Heavy Duty Copper Motor
 • AC: 220-240V 50/60Hz 80W
 • Rust & Scratch Resistand surface finish",Olsenmark OMF1752 Ceiling Fan,"fan, olsenmark fan, wall fan, cooling fan, fast fan, electric fan, ceiling fan",
OMFH1635,OMFH1635,Olsenmark,Olsenmark OMFH1635 Fan Heater,"• Power: 2000W 
 • Product Size: 265mm x 230mm x 533mm 
 • Color: Grey 430C 
 • PP Material 
 • AC Adapter: 220V-240V 60/50Hz 
 • Product Weight: 1 Kg",Olsenmark OMFH1635 Fan Heater,"Heater, Room Heater, Fan Heater, Olsenmark Fan Heater,Best Fan Heater",
OMFH1637,OMFH1637,Olsenmark,Olsenmark OMFH1637 Fan Heater,"• Power: 2000W
 • Product Size: 190 x 150 x 250mm
 • Color: Blue
 • PP Material
 • Power Supply: 220V- 240V 50/60Hz
 • Product Weight: 1 kg",Olsenmark OMFH1637 Fan Heater,"Heater, Room Heater, Fan Heater, Olsenmark Fan Heater,Best Fan Heater",
OMFH1736,OMFH1736,Olsenmark,Olsenmark OMFH1736 Fan Heater,"• 2 Heating Powers: 1000w/2000w 
 • Cool/Warm/ Hot Wind Three For Selection 
 • Adjustable Room Thermostat 
 • Overheat Protection 
 • Ac: 220-240v 50/60hz 1800-2000w",Olsenmark OMFH1736 Fan Heater,"Heater, Room Heater, Fan Heater, Olsenmark Fan Heater,Best Fan Heater",
OMFH1737,OMFH1737,Olsenmark,Olsenmark OMFH1737 Fan Heater,"• 2 Heating Powers: 1000w/2000w 
 • Cool/Warm/ Hot Wind Three For Selection 
 • Adjustable Room Thermostat 
 • Overheat Protection 
 • Ac: 220-240v 50/60hz 1800-2000w 
 • Carry Handle",Olsenmark OMFH1737 Fan Heater,"Heater, Room Heater, Fan Heater, Olsenmark Fan Heater,Best Fan Heater",
OMFL2503,OMFL2503,Olsenmark,Olsenmark OMFL2503 Rechargeable Led Flashlight,"• High Quality Battery can be charged up to 1,000 times 
 • 1000 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 3 Hours continuous working",Olsenmark OMFL2503 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2571,OMFL2571,Olsenmark,Olsenmark OMFL2571 Rechargeable Led Flashlight,"• High Quality Battery can be charged up to 1,000 times 
 • 2500 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 2.5 Hours continuous working",Olsenmark OMFL2571 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2574,OMFL2574,Olsenmark,Olsenmark OMFL2574 Rechargeable Led Flashlight,"• The Lighting resource is CREE-XPE white color 
 • Aluminum body is made by CNC machining
 • Precise surface anodized aluminum body
 • Shine,corrosion resistant
 • Built-in rechargeable high capacity NI-CD battery
 • 3.6V 2000mAh NI-CD battery
 • 1500 meters-real range distance",Olsenmark OMFL2574 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2589,OMFL2589,Olsenmark,"Olsenmark OMFL2589 Rechargeable Led Flashlight, 3 in 1","• Bright day Light LED 
 • Machined Aircraft Aluminum Body with Anodized Finish 
 • High Quality Battery Can Be Charged Up To 1500 Times 
 • 2000 Meters Real Range Distance 
 • Optimized Electronics Provide Regulated Intensity 
 • Machined aircraft grade Aluminum 
 • 4.5V 250mA 
 • AC: 100- 240V 50/60Hz","Olsenmark OMFL2589 Rechargeable Led Flashlight, 3 in 1","flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2598,OMFL2598,Olsenmark,Olsenmark OMFL2598 Rechargeable Led Flashlight,"• The Lighting resource is CREE-XPE white color 
 • Aluminum body is made by CNC machining
 • Precise surface anodized aluminum body
 • Shine,corrosion resistant
 • Built-in rechargeable high capacity NI-CD battery
 • 2.4V 1600mAh NI-CD battery
 • 1500 meters-real range distance",Olsenmark OMFL2598 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2604,OMFL2604,Olsenmark,"Olsenmark OMFL2604 Rechargeable Led Flashlight, 3 in 1","• High Quality Battery can be charged up to 1,000 times 
 • 1000 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 3 Hours continuous working","Olsenmark OMFL2604 Rechargeable Led Flashlight, 3 in 1","flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2605,OMFL2605,Olsenmark,"Olsenmark OMFL2605 Rechargeable Led Flashlight, 3 in 1","• High Quality Battery can be charged up to 1,000 times 
 • 1500 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 2.5 Hours continuous working","Olsenmark OMFL2605 Rechargeable Led Flashlight, 3 in 1","flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2606,OMFL2606,Olsenmark,Olsenmark OMFL2606 Rechargeable Led Flashlight,"• High Quality Battery can be charged up to 1,000 times 
 • 1800 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 3 Hours continuous working",Olsenmark OMFL2606 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2609,OMFL2609,Olsenmark,Olsenmark OMFL2609 Rechargeable Led Flashlight,"• High Quality Battery can be charged up to 1,000 times 
 • 1000 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 2.5 Hours continuous working",Olsenmark OMFL2609 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2610,OMFL2610,Olsenmark,Olsenmark OMFL2610 Rechargeable Led Flashlight,"• High Quality Battery can be charged up to 1,000 times 
 • 2800 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 3.5 hours continuous working",Olsenmark OMFL2610 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2616,OMFL2616,Olsenmark,Olsenmark OMFL2616 Rechargeable LED Flashlight,"• Hyper bright cool white LED Flashlight
 • Anodized aero grade aluminum body
 • 1500 Meters real range distance
 • Color: Black",Olsenmark OMFL2616 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2629,OMFL2629,Olsenmark,Olsenmark OMFL2629 Rechargeable Led Flashlight,"• High Quality Battery can be charged up to 1,000 times 
 • 1500 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 90mins continuous working",Olsenmark OMFL2629 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2630,OMFL2630,Olsenmark,Olsenmark OMFL2630 Rechargeable Led Flashlight,"• High Quality Battery can be charged up to 1,000 times 
 • 1500 meters-Real Range Distance 
 • Optimized electronics provide regulated intensity 
 • 90 mins continuous working",Olsenmark OMFL2630 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2648,OMFL2648,Olsenmark,Olsenmark OMFL2648 Rechargeable LED Flashlight,"• Operation Time > 80min
 • Night Glow 
 • High Power LED
 • High Quality Rechargeable Battery can be charged up to 5 years 
 • Smart Charger Plugs into any AC Outlet AC:110- 240V 50/60Hz
 • 1500 Meters Range
 • Unbreakable body
 • Advanced Circuit Technology
 • Shatter Proof, Weather Proof",Olsenmark OMFL2648 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2657,OMFL2657,Olsenmark,Olsenmark OMFL2657 Rechargeable Led Flashlight,"• Rechargeable Waterproof Led 
 • Hyper Bright Cool White Micro Chip Led
 • Machined Aircraft Aluminium Body With Anodized Finish
 • High Quality Battery Can Be Charged Up To 1500 Times
 • 1000 Metres Real Range Distance
 • Optimized Electronics Provide Regulated Intensity
 • Color : Matte Black
 • Ac Adaptor : 3v 150ma
 • Ac:110-240v 50/60hz",Olsenmark OMFL2657 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2673,OMFL2673,Olsenmark,"Olsenmark OMFL2673 Rechargeable Led Flashlight, 4 in 1","• Bright day Light LED 
 • Machined Aircraft Aluminum Body with Anodized Finish 
 • High Quality Battery Can Be Charged Up To 1500 Times 
 • 2000 Meters Real Range Distance 
 • Optimized Electronics Provide Regulated Intensity 
 • Machined aircraft grade Aluminum 
 • 4.5V 250mA 
 • AC: 100- 240V 50/60Hz","Olsenmark OMFL2673 Rechargeable Led Flashlight, 4 in 1","flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2674,OMFL2674,Olsenmark,Olsenmark OMFL2674 2 in 1 Rechargeable LED Flashlight,"• Bright day light LED
 • Machined Aircraft Aluminum body with Anodized Finish
 • High Quality Battery Can be Charged up to 1500 Times
 • 1500 Meters Real Range distance
 • Optimized Electronics provide regulated intensity
 • Machined aircraft grade Aluminum
 • 3.0V 250mA
 • Ac: 100-240V 50/60Hz",Olsenmark OMFL2674 2 in 1 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2677,OMFL2677,Olsenmark,Olsenmark OMFL2677 Rechargeable Led Flashlight,"• LED Flash light, 2AA batteries 700mAh 
 • Bright day light LED 
 • Machined Aircraft Aluminum Body With Anodized Finish 
 • High Quality Battery Can Be Charged Up To 1500 Times 
 • 1000 Meters Real Range Distance 
 • Optimized Electronics Provide Regulated Intensity",Olsenmark OMFL2677 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2683,OMFL2683,Olsenmark,"Olsenmark OMFL2683 Rechargeable Led Flashlight, 3 in 1","• Ni-Cd Battery 3sc Size, 1900 Mah
 • Focus And Long Distance, 500 Meters
 • Cree Xpe Led ,180 Lumens
 • Usb Adaptors
 • Size: 32.5""5.1""3.2cm
 • Weight: 158g
 • Input: Ac110-240v,50/60hz,0.3a
 • Output: 5vdc,300ma","Olsenmark OMFL2683 Rechargeable Led Flashlight, 3 in 1","flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2697,OMFL2697,Olsenmark,Olsenmark OMFL2697 Rechargeable Led Flashlight,"• High Quality Battery 
 • 1000 Meters Real Range Distance 
 • Water Proof Led
 • Hyper Bright Cool White Micro Chip LED 
 • Machined Aircraft Aluminum Body With Anodized Finish 
 • High Quality Battery Can Be Charged Up To 1500 Times
 • 1000 Meters Real Range Distance
 • 1500 MHA Ni-Cd battery
 • Power: 110-220V-50/60Hz
 • AC: 4.5V 400mA",Olsenmark OMFL2697 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2698,OMFL2698,Olsenmark,Olsenmark OMFL2698 3 in 1 Water Proof LED Flashlight,"• Hyper Bright Cool White Micro Chip LED 
 • Aluminum Body With Anodized Finish 
 • High Quality Battery 
 • 1000 Meters Real Range Distance
 • Hyper Bright Cool White Micro Chip LED 
 • Machined Aircraft Aluminum Body With Anodized Finish 
 • High Quality Battery Can Be Charged Up To 1500 Times
 • 1000 Meters Real Range Distance
 • 1200 MHA Ni-Cd battery
 • Power: 110-240V-50/60Hz 
 • AC: 4.5V 400mA",Olsenmark OMFL2698 3 in 1 Water Proof LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2708,OMFL2708,Olsenmark,Olsenmark OMFL2708 4 in 1 Rechargeable LED Flashlight,"• 4 pcs Combo
 • Bright day light LED
 • Machined Aircraft Aluminum body with Anodized Finish
 • High Quality Battery Can be Charged up to 1500 Times
 • 1500 Meters Real Range distance
 • Optimized Electronics provide regulated intensity
 • Ac: 100-240V 50/60Hz",Olsenmark OMFL2708 4 in 1 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2709,OMFL2709,Olsenmark,"Olsenmark OMFL2709 Rechargeable Led Flashlight, 5 in 1","• 5 Pcs Combo 
 • Bright daylight LED 
 • Machined aircraft aluminum body with anodized finish 
 • High quality battery; can be charged up to 1500 times 
 • 1500 meters real range distance 
 • AC: 100- 240V 50/60Hz 
 • Optimized electronics provide regulated intensity","Olsenmark OMFL2709 Rechargeable Led Flashlight, 5 in 1","flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2710,OMFL2710,Olsenmark,"Olsenmark OMFL2710 Rechargeable Led Flashlight, 5 in 1","• 5 Pcs Combo
 • Bright daylight LED
 • Machined aircraft aluminum body with anodized finish
 • High quality battery; can be charged up to 1500 times
 • 2000 meters real range distance
 • AC:100- 240V 50/60Hz
 • Optimized electronics provide regulated intensity","Olsenmark OMFL2710 Rechargeable Led Flashlight, 5 in 1","flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2718,OMFL2718,Olsenmark,"Olsenmark OMFL2718 Rechargeable Led Flashlight, 2 in 1","• Bright day light LED 
 • Machined Aircraft Aluminum Body With Anodized Finish 
 • High Quality Battery Can Be Charged Up To 1500 Times 
 • 1000 Meters Real Range Distance 
 • Optimized Electronics Provide Regulated Intensity 
 • AC: 100-240V —50/60Hz","Olsenmark OMFL2718 Rechargeable Led Flashlight, 2 in 1","flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2737_1,OMFL2737,Olsenmark,Olsenmark OMFL2737_1 Rechargeable LED Flashlight,"• Built-in rechargeable and maintenance-free lead-acid battery, with capacity up to 1500mAH. Long service life, can be charged circularly 500 times above.
 • Use green, environmental protection, while, super bright imported LED , it can work more than 100,000 hours.
 • Low power consumption, consumes 5W
 • Maximum lighting time is 15 hours
 • Push the switch, you can choose the tube
 • Lighting freely according on environment requirements.
 • Can be charged with ac wire and with micro- usb charging socket",Olsenmark OMFL2737_1 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2737_2,OMFL2737,Olsenmark,Olsenmark OMFL2737_2 Rechargeable LED Flashlight,"• Built-in rechargeable and maintenance-free lead-acid battery, with capacity up to 1500mAH. Long service life, can be charged circularly 500 times above.
 • Use green, environmental protection, while, super bright imported LED , it can work more than 100,000 hours.
 • Low power consumption, consumes 5W
 • Maximum lighting time is 15 hours
 • Push the switch, you can choose the tube
 • Lighting freely according on environment requirements.
 • Can be charged with ac wire and with micro- usb charging socket",Olsenmark OMFL2737_2 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2739,OMFL2739,Olsenmark,Olsenmark OMFL2739 Rechargeable Led Flashlight,"• Bright day Light LED 
 • Machined Aircraft Aluminum Body with Anodized Finish 
 • High Quality Battery Can Be Charged Up To 1500 Times 
 • 1000 Meters Real Range Distance 
 • Optimized Electronics Provide Regulated Intensity",Olsenmark OMFL2739 Rechargeable Led Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, Olsenmark flashlight, emergency light",
OMFL2746,OMFL2746,Olsenmark,Olsenmark OMFL2746 Rechargeable LED Flashlight,"• The lighting resource is CREE-XPE LED Chip
 • Aluminum body is made by CNC machining
 • Precise surface anodized aluminum body
 • Shine, corrosion resistant
 • Built-in rechargeable high capacity lithium-ion battery
 • 3.7V 2000mAh lithium-ion battery
 • 2500metres-real range distance
 • Material: Aluminum",Olsenmark OMFL2746 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2747,OMFL2747,Olsenmark,Olsenmark OMFL2747 Rechargeable LED Flashlight,"• The lighting resource is CREE-XPE LED Chip
 • Aluminum body is made by CNC machining
 • Shine, corrosion resistant
 • Built -in rechargeable high capacity lithium-ion battery
 • 2 *3.7V 2500mAh lithium-ion battery
 • 3000metres-real range distance
 • Materials: Aluminum",Olsenmark OMFL2747 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2748,OMFL2748,Olsenmark,Olsenmark OMFL2748 Rechargeable LED Flashlight,"• The light resource is CREE-XPE white color
 • Aluminum body is made by CNC machining
 • Precise surface anodized aluminum body
 • Shine, corrosion resistant
 • Built-in rechargeable high capacity lithium-ion battery
 • 3.7V 600mAh lithium-ion battery
 • 1500 meters-real range distance
 • Power: 3W
 • Color: Black
 • Material: Aluminum",Olsenmark OMFL2748 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
OMFL2749,OMFL2749,Olsenmark,Olsenmark OMFL2749 Rechargeable LED Flashlight,"• The light resource is CREE-XPE white color
 • Aluminum body is made by CNC machining
 • Precise surface anodized aluminum body
 • Shine, corrosion resistant
 • Built-in rechargeable high capacity lithium-ion battery
 • 3.7V 600mAh lithium-ion battery
 • 1500 meters-real range distance
 • Power: 3W
 • Color: Black
 • Material: Aluminum",Olsenmark OMFL2749 Rechargeable LED Flashlight,"flash light, Led light, LED light, rechargeable light, battery, torch, olsenmark light, olsenmark flashlight, emergency light",
